Work item ID,Parent ID,Work type,Summary,Description,Priority,Labels,Due Date,Epic Link
F-D3,FE-FOUNDATION,Task,F-D3 Day 3 — CI/CD and code quality,Backend: CI pipeline GitHub Actions Ruff mypy pytest. Frontend CI lint typecheck build pre-commit hooks.,High,darafin frontend day3 week1 ci,2026-08-20,FE-FOUNDATION
F-D3-1,F-D3,Sub-task,F-D3-1 Add GitHub Actions CI workflow,lint typecheck build on every PR,Medium,darafin frontend day3 ci,2026-08-20,
F-D3-2,F-D3,Sub-task,F-D3-2 Configure ESLint Prettier Husky,lint-staged for pre-commit checks,Medium,darafin frontend day3 ci,2026-08-20,
F-D3-3,F-D3,Sub-task,F-D3-3 Write CONTRIBUTING.md,Branch naming PR checklist Definition of Done,Medium,darafin frontend day3,2026-08-20,
F-D3-4,F-D3,Sub-task,F-D3-4 Configure TypeScript path aliases,@/ alias and consistent import conventions,Low,darafin frontend day3,2026-08-20,
F-D3-5,F-D3,Sub-task,F-D3-5 Create Zustand store skeleton,UI-only state: sidebar collapsed active modal wizard step,Medium,darafin frontend day3,2026-08-20,
F-D3-6,F-D3,Sub-task,F-D3-6 Add secret scan to frontend CI,gitleaks or equivalent,Medium,darafin frontend day3 ci,2026-08-20,
F-D4,FE-FOUNDATION,Task,F-D4 Day 4 — Planning wireframes and Auth spike,Buffer day. Route map RBAC matrix wireframes MSW expansion Auth.js POC.,Medium,darafin frontend day4 week1,2026-08-21,FE-FOUNDATION
F-D4-1,F-D4,Sub-task,F-D4-1 Define frontend route map for MVP,/login /dashboard /organizations /invoices and other MVP routes,Medium,darafin frontend day4,2026-08-21,
F-D4-2,F-D4,Sub-task,F-D4-2 Document RBAC matrix,Map 6 org roles to routes menu items and action buttons,High,darafin frontend day4 rbac,2026-08-21,
F-D4-3,F-D4,Sub-task,F-D4-3 Create wireframes for core screens,Auth dashboard org admin invoice list in Figma or sketch,Medium,darafin frontend day4,2026-08-21,
F-D4-4,F-D4,Sub-task,F-D4-4 Expand MSW mocks,Users with different roles sample organizations membership scopes,Medium,darafin frontend day4,2026-08-21,
F-D4-5,F-D4,Sub-task,F-D4-5 Spike Auth.js Credentials provider with DRF JWT,2-hour POC. Document findings and integration approach.,High,darafin frontend day4 auth,2026-08-21,
F-D5,FE-FOUNDATION,Task,F-D5 Day 5 — Authentication,Backend: Identity app token/refresh/me/sessions. Auth.js login refresh middleware logout.,High,darafin frontend day5 week1 auth,2026-08-22,FE-FOUNDATION
F-D5-1,F-D5,Sub-task,F-D5-1 Install and configure Auth.js,NextAuth v5 with Credentials provider,High,darafin frontend day5 auth,2026-08-22,
F-D5-2,F-D5,Sub-task,F-D5-2 Implement login flow,POST /api/v1/auth/login store access/refresh tokens in session,High,darafin frontend day5 auth,2026-08-22,
F-D5-3,F-D5,Sub-task,F-D5-3 Implement token refresh,POST /api/v1/auth/refresh in Auth.js callbacks,High,darafin frontend day5 auth,2026-08-22,
F-D5-4,F-D5,Sub-task,F-D5-4 Build login page,Ant Design Form + React Hook Form + Zod validation,Medium,darafin frontend day5 auth,2026-08-22,
F-D5-5,F-D5,Sub-task,F-D5-5 Add Next.js middleware for route protection,Redirect unauthenticated users to /login,High,darafin frontend day5 auth,2026-08-22,
F-D5-6,F-D5,Sub-task,F-D5-6 Implement logout,Clear session revoke token if backend supports it,Medium,darafin frontend day5 auth,2026-08-22,
F-D5-7,F-D5,Sub-task,F-D5-7 Connect login to backend,Verify happy path against real API or MSW until staging is up,High,darafin frontend day5 auth,2026-08-22,
F-D6,FE-FOUNDATION,Task,F-D6 Day 6 — User profile and organizations,Backend: Organizations app Organization UserMembership. Profile org switcher org list and detail.,High,darafin frontend day6 week1 organizations,2026-08-23,FE-FOUNDATION
F-D6-1,F-D6,Sub-task,F-D6-1 Build user profile page,GET /api/v1/me via TanStack Query,Medium,darafin frontend day6,2026-08-23,
F-D6-2,F-D6,Sub-task,F-D6-2 Create active organization Zustand store,activeOrganizationId persisted in localStorage,High,darafin frontend day6,2026-08-23,
F-D6-3,F-D6,Sub-task,F-D6-3 Build organization switcher in header,Dropdown of user organizations,Medium,darafin frontend day6,2026-08-23,
F-D6-4,F-D6,Sub-task,F-D6-4 Build organization list page,GET /api/v1/organizations with Ant Design Table,Medium,darafin frontend day6,2026-08-23,
F-D6-5,F-D6,Sub-task,F-D6-5 Build organization detail page,GET/PATCH /api/v1/organizations/{id},Medium,darafin frontend day6,2026-08-23,
F-D6-6,F-D6,Sub-task,F-D6-6 Ensure org context on all API calls,Include org header or query param per backend contract,High,darafin frontend day6,2026-08-23,
F-D7,FE-FOUNDATION,Task,F-D7 Day 7 — Members RBAC and week 1 wrap-up,Backend: 6 roles seed maker-checker Sentry. Members page permissions sessions week 1 review.,High,darafin frontend day7 week1 rbac,2026-08-24,FE-FOUNDATION
F-D7-1,F-D7,Sub-task,F-D7-1 Build organization members page,GET/POST /api/v1/organizations/{id}/members,Medium,darafin frontend day7,2026-08-24,
F-D7-2,F-D7,Sub-task,F-D7-2 Build add/edit member modal,Role and scope selection,Medium,darafin frontend day7,2026-08-24,
F-D7-3,F-D7,Sub-task,F-D7-3 Implement usePermission hook,Hide/disable UI based on membership scopes,High,darafin frontend day7 rbac,2026-08-24,
F-D7-4,F-D7,Sub-task,F-D7-4 Build sessions page,GET /api/v1/sessions with revoke action,Medium,darafin frontend day7,2026-08-24,
F-D7-5,F-D7,Sub-task,F-D7-5 Integrate Sentry for frontend,Forward correlation-id from Ky to Sentry context,Medium,darafin frontend day7 observability,2026-08-24,
F-D7-6,F-D7,Sub-task,F-D7-6 Week 1 review and demo,Fix blockers update week 2 backlog demo auth + org flows,High,darafin frontend day7,2026-08-24,
F-D8,FE-ONBOARDING,Task,F-D8 Day 8 — Organization onboarding wizard,Backend: Onboarding app expected. Multi-step wizard org info form onboarding status.,High,darafin frontend day8 week2 onboarding,2026-08-25,FE-ONBOARDING
F-D8-1,F-D8,Sub-task,F-D8-1 Build multi-step onboarding wizard,Ant Design Steps component,Medium,darafin frontend day8 onboarding,2026-08-25,
F-D8-2,F-D8,Sub-task,F-D8-2 Build org info form step,Type national_id legal name fields,Medium,darafin frontend day8 onboarding,2026-08-25,
F-D8-3,F-D8,Sub-task,F-D8-3 Create Zod schemas for onboarding,Aligned with backend Organization model,Medium,darafin frontend day8 onboarding,2026-08-25,
F-D8-4,F-D8,Sub-task,F-D8-4 Build onboarding status page,Pending under review approved rejected states,Medium,darafin frontend day8 onboarding,2026-08-25,
F-D9,FE-ONBOARDING,Task,F-D9 Day 9 — Document upload and profile completion,Backend: MinIO document upload expected. FileUpload component profile completion toasts.,High,darafin frontend day9 week2 documents,2026-08-26,FE-ONBOARDING
F-D9-1,F-D9,Sub-task,F-D9-1 Build reusable FileUpload component,Ant Design Upload with progress size/type validation,Medium,darafin frontend day9 documents,2026-08-26,
F-D9-2,F-D9,Sub-task,F-D9-2 Integrate upload into onboarding wizard,Connect to documents API or presigned URL flow,Medium,darafin frontend day9 documents,2026-08-26,
F-D9-3,F-D9,Sub-task,F-D9-3 Build post-login profile completion page,First-time user flow,Medium,darafin frontend day9,2026-08-26,
F-D9-4,F-D9,Sub-task,F-D9-4 Add global toast notifications,Ant Design message and notification,Low,darafin frontend day9,2026-08-26,
F-D10,FE-ONBOARDING,Task,F-D10 Day 10 — OpenAPI codegen and integration,Backend: OpenAPI via drf-spectacular expected. Codegen replace types MSW update staging smoke test.,High,darafin frontend day10 week2 openapi,2026-08-27,FE-ONBOARDING
F-D10-1,F-D10,Sub-task,F-D10-1 Set up OpenAPI codegen script,npm run generate:api from backend schema URL,High,darafin frontend day10 openapi,2026-08-27,
F-D10-2,F-D10,Sub-task,F-D10-2 Replace hand-written types,Use generated types from OpenAPI,High,darafin frontend day10 openapi,2026-08-27,
F-D10-3,F-D10,Sub-task,F-D10-3 Update MSW handlers to OpenAPI schema,Align mocks with official API contract,Medium,darafin frontend day10 openapi,2026-08-27,
F-D10-4,F-D10,Sub-task,F-D10-4 Run staging integration smoke test,login me organizations against staging API,High,darafin frontend day10,2026-08-27,
F-D11,FE-ONBOARDING,Task,F-D11 Day 11 — Navigation and dashboard shell,Buffer UX polish. Role-aware menu dashboard 403/404 breadcrumbs.,Medium,darafin frontend day11 week2,2026-08-28,FE-ONBOARDING
F-D11-1,F-D11,Sub-task,F-D11-1 Build role-aware navigation menu,Show/hide items per role,Medium,darafin frontend day11,2026-08-28,
F-D11-2,F-D11,Sub-task,F-D11-2 Build dashboard landing page,KPI placeholder cards,Medium,darafin frontend day11,2026-08-28,
F-D11-3,F-D11,Sub-task,F-D11-3 Build 403 and 404 pages,Forbidden and not found error pages,Low,darafin frontend day11,2026-08-28,
F-D11-4,F-D11,Sub-task,F-D11-4 Add breadcrumb component,For nested routes,Low,darafin frontend day11,2026-08-28,
F-D12,FE-ONBOARDING,Task,F-D12 Day 12 — Bank accounts and MFA UI,Backend: org bank accounts expected. List form MFA warning modal.,High,darafin frontend day12 week2 mfa,2026-08-29,FE-ONBOARDING
F-D12-1,F-D12,Sub-task,F-D12-1 Build bank accounts list page,Organization bank accounts table,Medium,darafin frontend day12,2026-08-29,
F-D12-2,F-D12,Sub-task,F-D12-2 Build add/edit bank account form,RHF + Zod validation,Medium,darafin frontend day12,2026-08-29,
F-D12-3,F-D12,Sub-task,F-D12-3 Add MFA warning for bank account changes,Per backend docs/design/mfa.md,High,darafin frontend day12 mfa,2026-08-29,
F-D12-4,F-D12,Sub-task,F-D12-4 Build MFA confirmation modal,Placeholder until backend MFA is live,Medium,darafin frontend day12 mfa,2026-08-29,
F-D13,FE-ONBOARDING,Task,F-D13 Day 13 — Shared data table and utilities,Reusable DataTable Jalali date picker MoneyDisplay week 2 integration test.,High,darafin frontend day13 week2,2026-08-30,FE-ONBOARDING
F-D13-1,F-D13,Sub-task,F-D13-1 Build DataTable wrapper,Ant Design Table server-side pagination sorting filtering,High,darafin frontend day13,2026-08-30,
F-D13-2,F-D13,Sub-task,F-D13-2 Map table state to API query params,Via TanStack Query,High,darafin frontend day13,2026-08-30,
F-D13-3,F-D13,Sub-task,F-D13-3 Add Jalali date picker,Persian calendar for date fields,Medium,darafin frontend day13,2026-08-30,
F-D13-4,F-D13,Sub-task,F-D13-4 Add MoneyDisplay component,IRR formatting with thousand separators,Medium,darafin frontend day13,2026-08-30,
F-D13-5,F-D13,Sub-task,F-D13-5 Week 2 integration test,End-to-end onboarding dashboard org admin,High,darafin frontend day13,2026-08-30,
F-D14,FE-ONBOARDING,Task,F-D14 Day 14 — Week 2 hardening,Fix integration bugs loading skeletons error handler API patterns doc.,Medium,darafin frontend day14 week2,2026-08-31,FE-ONBOARDING
F-D14-1,F-D14,Sub-task,F-D14-1 Fix week 2 integration bugs,Address issues from integration testing,High,darafin frontend day14,2026-08-31,
F-D14-2,F-D14,Sub-task,F-D14-2 Add loading skeletons to all pages,List and detail page skeleton states,Medium,darafin frontend day14,2026-08-31,
F-D14-3,F-D14,Sub-task,F-D14-3 Centralize Persian API error messages,In Ky error handler,Medium,darafin frontend day14,2026-08-31,
F-D14-4,F-D14,Sub-task,F-D14-4 Document API integration patterns,README for new team members,Low,darafin frontend day14,2026-08-31,
F-D15,FE-INVOICES,Task,F-D15 Day 15 — Invoice list,Backend: Invoices list API expected. Invoice table columns status badges.,High,darafin frontend day15 week3 invoices,2026-09-01,FE-INVOICES
F-D15-1,F-D15,Sub-task,F-D15-1 Build invoice list page,Ant Design Table server-side pagination,High,darafin frontend day15 invoices,2026-09-01,
F-D15-2,F-D15,Sub-task,F-D15-2 Connect to GET /api/v1/invoices,Via TanStack Query,High,darafin frontend day15 invoices,2026-09-01,
F-D15-3,F-D15,Sub-task,F-D15-3 Add invoice table columns,Number counterparty amount status due date,Medium,darafin frontend day15 invoices,2026-09-01,
F-D15-4,F-D15,Sub-task,F-D15-4 Add invoice status badges,draft submitted approved rejected etc,Medium,darafin frontend day15 invoices,2026-09-01,
F-D16,FE-INVOICES,Task,F-D16 Day 16 — Create invoice,Backend: invoice create API expected. Form validation submit redirect.,High,darafin frontend day16 week3 invoices,2026-09-02,FE-INVOICES
F-D16-1,F-D16,Sub-task,F-D16-1 Build create invoice form,RHF + Zod,High,darafin frontend day16 invoices,2026-09-02,
F-D16-2,F-D16,Sub-task,F-D16-2 Add invoice form fields,Counterparty amount number issue date due date,Medium,darafin frontend day16 invoices,2026-09-02,
F-D16-3,F-D16,Sub-task,F-D16-3 Client validation and Persian API errors,Display backend error messages in Persian,Medium,darafin frontend day16 invoices,2026-09-02,
F-D16-4,F-D16,Sub-task,F-D16-4 Submit and redirect,POST /api/v1/invoices redirect to detail on success,High,darafin frontend day16 invoices,2026-09-02,
F-D17,FE-INVOICES,Task,F-D17 Day 17 — Invoice detail and actions,Backend: invoice detail and status transitions. Timeline approve/reject modal.,High,darafin frontend day17 week3 invoices,2026-09-03,FE-INVOICES
F-D17-1,F-D17,Sub-task,F-D17-1 Build invoice detail page,GET /api/v1/invoices/{id},High,darafin frontend day17 invoices,2026-09-03,
F-D17-2,F-D17,Sub-task,F-D17-2 Add status timeline component,Invoice lifecycle visualization,Medium,darafin frontend day17 invoices,2026-09-03,
F-D17-3,F-D17,Sub-task,F-D17-3 Add role-based action buttons,Submit approve reject per role,High,darafin frontend day17 invoices,2026-09-03,
F-D17-4,F-D17,Sub-task,F-D17-4 Build approve/reject modal,Mandatory comment field,Medium,darafin frontend day17 invoices,2026-09-03,
F-D18,FE-INVOICES,Task,F-D18 Day 18 — Invoice polish and filters,Optimistic updates idempotency guards filters empty states.,Medium,darafin frontend day18 week3 invoices,2026-09-04,FE-INVOICES
F-D18-1,F-D18,Sub-task,F-D18-1 Optimistic updates for status changes,Via TanStack Query,Medium,darafin frontend day18 invoices,2026-09-04,
F-D18-2,F-D18,Sub-task,F-D18-2 Disable buttons during requests,Idempotency guard against double submit,High,darafin frontend day18 invoices,2026-09-04,
F-D18-3,F-D18,Sub-task,F-D18-3 Add invoice filters,Status date range counterparty,Medium,darafin frontend day18 invoices,2026-09-04,
F-D18-4,F-D18,Sub-task,F-D18-4 Add empty state and error recovery,Invoice list edge cases,Low,darafin frontend day18 invoices,2026-09-04,
F-D19,FE-INVOICES,Task,F-D19 Day 19 — Invoice document attachments,Backend: Documents attach API expected. Multi-file upload download links.,High,darafin frontend day19 week3 documents,2026-09-05,FE-INVOICES
F-D19-1,F-D19,Sub-task,F-D19-1 Add attachments section to invoice detail,Document upload area on invoice page,Medium,darafin frontend day19 documents,2026-09-05,
F-D19-2,F-D19,Sub-task,F-D19-2 Support multi-file upload,Preview and delete uploaded files,Medium,darafin frontend day19 documents,2026-09-05,
F-D19-3,F-D19,Sub-task,F-D19-3 Display attached documents list,Download links for each document,Medium,darafin frontend day19 documents,2026-09-05,
F-D19-4,F-D19,Sub-task,F-D19-4 Enforce file type and size limits in UI,Client-side validation before upload,Medium,darafin frontend day19 documents,2026-09-05,
F-D20,FE-INVOICES,Task,F-D20 Day 20 — Document library,Backend: document library API expected. Filters PDF preview fix edge cases.,High,darafin frontend day20 week3 documents,2026-09-06,FE-INVOICES
F-D20-1,F-D20,Sub-task,F-D20-1 Build document library page,Standalone document management view,Medium,darafin frontend day20 documents,2026-09-06,
F-D20-2,F-D20,Sub-task,F-D20-2 Add document filters,By type and upload date,Medium,darafin frontend day20 documents,2026-09-06,
F-D20-3,F-D20,Sub-task,F-D20-3 Add in-browser PDF preview modal,Preview documents without download,Medium,darafin frontend day20 documents,2026-09-06,
F-D20-4,F-D20,Sub-task,F-D20-4 Fix upload and download edge cases,From testing feedback,Medium,darafin frontend day20 documents,2026-09-06,
F-D21,FE-INVOICES,Task,F-D21 Day 21 — Invoice search export and week 3 review,Debounced search CSV export week 3 demo.,Medium,darafin frontend day21 week3 invoices,2026-09-07,FE-INVOICES
F-D21-1,F-D21,Sub-task,F-D21-1 Add debounced search on invoice list,Search by number counterparty,Medium,darafin frontend day21 invoices,2026-09-07,
F-D21-2,F-D21,Sub-task,F-D21-2 Add CSV/Excel export for invoice list,Client-side export,Low,darafin frontend day21 invoices,2026-09-07,
F-D21-3,F-D21,Sub-task,F-D21-3 Week 3 review and demo,Invoice create attach docs submit flow,High,darafin frontend day21 invoices,2026-09-07,
F-D22,FE-FINANCING,Task,F-D22 Day 22 — Facilities and credit lines,Backend: Facilities app expected. List detail utilization chart.,High,darafin frontend day22 week4 facilities,2026-09-08,FE-FINANCING
F-D22-1,F-D22,Sub-task,F-D22-1 Build facilities list page,Credit lines for organization,Medium,darafin frontend day22 facilities,2026-09-08,
F-D22-2,F-D22,Sub-task,F-D22-2 Display credit utilization,Limit utilized remaining balance per facility,Medium,darafin frontend day22 facilities,2026-09-08,
F-D22-3,F-D22,Sub-task,F-D22-3 Build facility detail page,Full facility information view,Medium,darafin frontend day22 facilities,2026-09-08,
F-D22-4,F-D22,Sub-task,F-D22-4 Add credit utilization chart,Simple chart compatible with Ant Design,Low,darafin frontend day22 facilities,2026-09-08,
F-D23,FE-FINANCING,Task,F-D23 Day 23 — Financing request wizard,Backend: financing requests API expected. Multi-step wizard submit.,High,darafin frontend day23 week4 financing,2026-09-09,FE-FINANCING
F-D23-1,F-D23,Sub-task,F-D23-1 Build financing request wizard,Multi-step Ant Design Steps,High,darafin frontend day23 financing,2026-09-09,
F-D23-2,F-D23,Sub-task,F-D23-2 Select invoice and facility step,Eligible invoice and linked facility,High,darafin frontend day23 financing,2026-09-09,
F-D23-3,F-D23,Sub-task,F-D23-3 Display financeable amount,Calculated amount before submission,Medium,darafin frontend day23 financing,2026-09-09,
F-D23-4,F-D23,Sub-task,F-D23-4 Submit financing request,POST /api/v1/financing-requests,High,darafin frontend day23 financing,2026-09-09,
F-D24,FE-FINANCING,Task,F-D24 Day 24 — Approval queue maker-checker,Backend: maker-checker enforcement. Approval queue MFA optimistic UI.,High,darafin frontend day24 week4 approvals,2026-09-10,FE-FINANCING
F-D24-1,F-D24,Sub-task,F-D24-1 Build approval queue page,For approver role,High,darafin frontend day24 approvals,2026-09-10,
F-D24-2,F-D24,Sub-task,F-D24-2 Enforce maker-checker in UI,Hide approve when approver equals submitter,High,darafin frontend day24 approvals,2026-09-10,
F-D24-3,F-D24,Sub-task,F-D24-3 MFA confirmation for approve/reject,Required for financial actions,High,darafin frontend day24 mfa,2026-09-10,
F-D24-4,F-D24,Sub-task,F-D24-4 Optimistic UI after approval,Update list without full refetch,Medium,darafin frontend day24 approvals,2026-09-10,
F-D25,FE-FINANCING,Task,F-D25 Day 25 — Financing requests list and detail,Backend: financing list/detail expected. Filters linked invoice and docs.,High,darafin frontend day25 week4 financing,2026-09-11,FE-FINANCING
F-D25-1,F-D25,Sub-task,F-D25-1 Build financing requests list,Status filters and pagination,Medium,darafin frontend day25 financing,2026-09-11,
F-D25-2,F-D25,Sub-task,F-D25-2 Build financing request detail,Full status timeline,Medium,darafin frontend day25 financing,2026-09-11,
F-D25-3,F-D25,Sub-task,F-D25-3 Embed linked invoice and documents,On detail page,Medium,darafin frontend day25 financing,2026-09-11,
F-D25-4,F-D25,Sub-task,F-D25-4 Add amount and date range filters,On financing request list,Low,darafin frontend day25 financing,2026-09-11,
F-D26,FE-FINANCING,Task,F-D26 Day 26 — Risk assessment UI,Backend: Risk module expected. Risk panel form risk_tier badge filter.,High,darafin frontend day26 week4 risk,2026-09-12,FE-FINANCING
F-D26-1,F-D26,Sub-task,F-D26-1 Add risk assessment panel,On financing detail for risk analyst role only,Medium,darafin frontend day26 risk,2026-09-12,
F-D26-2,F-D26,Sub-task,F-D26-2 Build risk score and comment form,Submit risk evaluation,Medium,darafin frontend day26 risk,2026-09-12,
F-D26-3,F-D26,Sub-task,F-D26-3 Display organization risk_tier badge,On org and request pages,Medium,darafin frontend day26 risk,2026-09-12,
F-D26-4,F-D26,Sub-task,F-D26-4 Add risk-tier filter on financing list,Filter by organization risk tier,Low,darafin frontend day26 risk,2026-09-12,
F-D27,FE-DELIVERY,Task,F-D27 Day 27 — Real-time notifications Pusher,Backend: notifications + Pusher expected. NotificationTransport useNotifications bell cache invalidation.,High,darafin frontend day27 week5 notifications,2026-09-13,FE-DELIVERY
F-D27-1,F-D27,Sub-task,F-D27-1 Install Pusher and NotificationTransport abstraction,Pusher JS SDK with swappable transport layer,High,darafin frontend day27 notifications,2026-09-13,
F-D27-2,F-D27,Sub-task,F-D27-2 Build useNotifications hook,Subscribe to user/org channel,High,darafin frontend day27 notifications,2026-09-13,
F-D27-3,F-D27,Sub-task,F-D27-3 Add notification bell in header,Badge count and dropdown list,Medium,darafin frontend day27 notifications,2026-09-13,
F-D27-4,F-D27,Sub-task,F-D27-4 Invalidate TanStack Query on events,Refresh relevant data on real-time events,Medium,darafin frontend day27 notifications,2026-09-13,
F-D28,FE-DELIVERY,Task,F-D28 Day 28 — Payments and ledger,Backend: Payments and Ledger APIs expected. Payment list ledger trial balance.,High,darafin frontend day28 week5 payments ledger,2026-09-14,FE-DELIVERY
F-D28-1,F-D28,Sub-task,F-D28-1 Build payments list page,Status and date filters,Medium,darafin frontend day28 payments,2026-09-14,
F-D28-2,F-D28,Sub-task,F-D28-2 Build payment detail page,Amount status bank reference,Medium,darafin frontend day28 payments,2026-09-14,
F-D28-3,F-D28,Sub-task,F-D28-3 Build ledger transactions table,Debit/credit columns with MoneyDisplay,Medium,darafin frontend day28 ledger,2026-09-14,
F-D28-4,F-D28,Sub-task,F-D28-4 Build trial balance view,For finance role,Medium,darafin frontend day28 ledger,2026-09-14,
F-D29,FE-DELIVERY,Task,F-D29 Day 29 — Dashboard reporting and responsive,Backend: Reporting endpoints expected. KPI cards charts export responsive pass.,High,darafin frontend day29 week5 reporting,2026-09-15,FE-DELIVERY
F-D29-1,F-D29,Sub-task,F-D29-1 Build dashboard KPI cards,Invoice count financed amount pending approvals,Medium,darafin frontend day29 reporting,2026-09-15,
F-D29-2,F-D29,Sub-task,F-D29-2 Add monthly financing trend chart,Dashboard visualization,Medium,darafin frontend day29 reporting,2026-09-15,
F-D29-3,F-D29,Sub-task,F-D29-3 Build finance summary report page,Role-specific report view,Medium,darafin frontend day29 reporting,2026-09-15,
F-D29-4,F-D29,Sub-task,F-D29-4 Add print-friendly PDF export view,For reports,Low,darafin frontend day29 reporting,2026-09-15,
F-D29-5,F-D29,Sub-task,F-D29-5 Responsive pass on primary pages,Mobile and tablet layouts,Medium,darafin frontend day29,2026-09-15,
F-D30,FE-DELIVERY,Task,F-D30 Day 30 — E2E tests security and MVP delivery,MVP delivery day. Playwright E2E security review deploy demo bug triage.,High,darafin frontend day30 week5 mvp,2026-09-16,FE-DELIVERY
F-D30-1,F-D30,Sub-task,F-D30-1 Playwright E2E login invoice financing,login create invoice submit financing request,High,darafin frontend day30 e2e,2026-09-16,
F-D30-2,F-D30,Sub-task,F-D30-2 Playwright E2E maker-checker flow,Approval flow end-to-end test,High,darafin frontend day30 e2e,2026-09-16,
F-D30-3,F-D30,Sub-task,F-D30-3 Security review,Token storage CSP headers no secrets in client bundle,High,darafin frontend day30 security,2026-09-16,
F-D30-4,F-D30,Sub-task,F-D30-4 Deploy to staging/production,Document deploy process,High,darafin frontend day30 deploy,2026-09-16,
F-D30-5,F-D30,Sub-task,F-D30-5 Run MVP demo checklist,Against Definition of Done,High,darafin frontend day30 mvp,2026-09-16,
F-D30-6,F-D30,Sub-task,F-D30-6 Triage P0/P1 bugs and log phase 2 backlog,Post-demo bug fixes and future work,High,darafin frontend day30 mvp,2026-09-16,
